# ERC-7730 descriptor catalogue
# Generated by `cargo run -p dbgen`. DO NOT EDIT BY HAND.
#
# Each row is one entry in the firmware-pinned Merkle tree at
# ERC7730_DESCRIPTORS_ROOT. Auditors should reconcile every row
# against the source JSON and the upstream attestation chain.
# Root: 0x42a086e53bf86471a77d21f6b8c80ccb9e82ac9fd3c4ec60cd24bd9b3e9dfe76
# Policy: min_attesters=2 allow_unattested_dev_descriptors=true
# Trusted attesters (3):
#   - eip155:1:0x0000000000000000000000000000000000000001
#   - eip155:1:0x0000000000000000000000000000000000000002
#   - eip155:1:0x0000000000000000000000000000000000000003
#
# WARNING: dev mode is on — attestations were NOT enforced.
# CI MUST reject production builds in this mode.

[0011] ctx=eip712 chain_id=1 contract=0x0cec1a9154ff802e7934fc916ed7ca50bde6844e primary_type=0xe48329057bfd03d55e49b547132e39cffd9c1820ad7b9d4c5307691425d15adf descriptor_hash=0x02153648b1923f94eea72481c3f8441723dfb9c5e2e8102e57f0555700f6c799 erc8176_hash=0xeb2b06bb31a47350e8a83f88d15b845d0e1ba477411f16648d65217394728c04 ir_len=239 source=eip712-tally-ethereum-pool-token.json
[0012] ctx=contract chain_id=1 contract=0x0d89c1c4799353f3805a3e6c4e1cbbb83217d123 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x742299a01869cb0495022286f47c169d26cf3cbc6dd860ed914599d18ddfec5f erc8176_hash=0x4bce13aaa2cf54ed934696a3645339bc56acc521d4bad9f5d127eaf3ad09b65b ir_len=568 source=calldata-RedemptionVault.json
[0013] ctx=contract chain_id=1 contract=0x0f359fd18bda75e9c49bc027e7da59a4b01bf32a primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x04fbe1f32267f860901ce136b8645ae2a488df2a25a8fa74eb17210c8349b1d3 erc8176_hash=0x7dd9bb184bda442404ffe3f6391e6f72db5d00dc7d21ee7499fd445aaf05fd23 ir_len=455 source=calldata-b_protocol-reUSDC.json
[0014] ctx=contract chain_id=1 contract=0x0f7e323103b29e1b18d521de957ed0c4c0a8189e primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xab8fcd10b7d2afc1ee119a0a032939fec9cf714d77d2bcfa9709394722eb9c2b erc8176_hash=0x51c94055b1730602f37218106bea6c7d42914f6e6259adcbebfb5e5c7ae0a99d ir_len=535 source=calldata-MinterVault.json
[0015] ctx=contract chain_id=1 contract=0x10cc8dbca90db7606013d8cd2e77eb024df693bd primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xab8fcd10b7d2afc1ee119a0a032939fec9cf714d77d2bcfa9709394722eb9c2b erc8176_hash=0x51c94055b1730602f37218106bea6c7d42914f6e6259adcbebfb5e5c7ae0a99d ir_len=535 source=calldata-MinterVault.json
[0016] ctx=contract chain_id=1 contract=0x111111125421ca6dc452d289314280a0f8842a65 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0x6626696469ffad9c74da99b76f5d5fb3b7bae72f9ca3d7e6f369a735c34b6630 erc8176_hash=0x81360493cd41b89f72494f4d6b17e921f4e976032fe2c2e56f1552a313293ffa ir_len=327 source=calldata-AggregationRouterV6.json
[0017] ctx=eip712 chain_id=1 contract=0x111111125421ca6dc452d289314280a0f8842a65 primary_type=0x3af21ec5a20011b88d3b7b4ed7c806cef05a5980cf34974bcd53566a131f7e4c descriptor_hash=0xe32ea0cd430d6353582fcd60568ce1020deaa25b370369292f8f2feab6dad73d erc8176_hash=0xf366e8c0a35c1d0ef7a00e6a3c449f278b00c985e18c36ac475cc32530802bc8 ir_len=312 source=eip712-AggregationRouterV6.json
[0018] ctx=contract chain_id=1 contract=0x1111111254fb6c44bac0bed2854e76f90643097d primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xa8191fbc813859ed827c6702f7fb7f798f4c95ce80cdefb112ede4e1ae3a74df erc8176_hash=0xe492e54fa2a22f2e9c5c98d343411e41bbe991c637395e8e4d0b927442062634 ir_len=278 source=calldata-AggregationRouterV4-eth.json
[0019] ctx=eip712 chain_id=1 contract=0x119c71d3bbac22029622cbaec24854d3d32d2828 primary_type=0xb5da55eff5c27a8adb2f67a1c8c69165b0ddc78491ca437a82bd77e475228b2c descriptor_hash=0xb40eebb78a5c72de2598ecf45cd607adafbe03889efc57a364aab3d1bce9b28c erc8176_hash=0x801e64ee9156f99c7647c288c89c4937c904255d9db500ad42d222fa240d103b ir_len=378 source=eip712-1inch-limit-order.json
[0020] ctx=contract chain_id=1 contract=0x11aee91ed1e5a40443dd0ed21f7cf4d3fd4e0826 primary_type=0x0000000000000000000000000000000000000000000000000000000000000000 descriptor_hash=0xf3aa9d406b92ec8e0364ff4c3b870849500cb555977a392a468648ef8f7fc2d1 erc8176_hash=0x65ed790de5d6d8588619a5afd9e2f4b844a61c864a3e410d35de8e2430df67ee ir_len=461 source=calldata-Vault-RLUSD-Euler-Yield.json
