# ERC-20 impersonator denylist — (chain_id, address) pairs excluded from the token db.
# Generated by tools/scan_erc20_impersonators.py (offline symbol-collision scan).
# Each token wears a curated ticker at a non-canonical address vouched only by a
# low-trust source (overwhelmingly Li.Fi). Consumed by tools/build_erc20_db.py.
# Format: <chain_id> <address>  # <severity> <symbol> impersonates <real_symbol>
1 0x2216e873ea4282EbEf7A02aC5aeA220bE6391A7C  # MEDIUM SMOL impersonates SMOL (real 0x53ccE6d10e43d1B3D11872Ad22eC2aCd8d2537B8)
1 0x22222C03318440305aC3e8a7820563d6A9FD777F  # MEDIUM CLV impersonates CLV (real 0x80C62FE4487E1351b47Ba49809EBD60ED085bf52)
1 0x24C19F7101c1731b85F1127EaA0407732E36EcDD  # MEDIUM SGT impersonates SGT (real 0x5b649C07E7Ba0a1C529DEAabEd0b47699919B4a2)
1 0x24E634089bE96E3754F0DFA628A94ea57089e4bc  # MEDIUM MAX impersonates MAX (real 0xb365Cd2588065F522D379AD19e903304f6B622C6)
1 0x25b107caC488D6aF84A79c0C9B80865433a011f0  # MEDIUM CGPT impersonates CGPT (real 0x25931894a86D47441213199621F1F2994e1c39Aa)
1 0x28bfCF4385C8D32566D8A89A64B7C1e079cB81E6  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x2A039B1D9bBDccBb91be28691b730ca893e5e743  # MEDIUM RNB impersonates RNB (real 0x20a62aCA58526836165cA53fE67dd884288c8Abf)
1 0x2baEcDf43734F22FD5c152DB08E3C27233F0c7d2  # MEDIUM OM impersonates OM (real 0x3593D125a4f7849a1B059E64F4517A86Dd60c95d)
1 0x2C15b2B5336DDa8B44f245772e10C2BCbC0A8aE2  # MEDIUM DeFi impersonates DEFI (real 0x6B0FaCA7bA905a86F221CEb5CA404f605e5b3131)
1 0x2e3C062E16c1a3a04Ddc5003c62E294305d83684  # MEDIUM LIT impersonates LIT (real 0x232CE3bd40fCd6f80f3d55A522d03f25Df784Ee2)
1 0x2e57b03A68c2ec232Dbf11b6680fEB67D388E262  # MEDIUM MOON impersonates MOON (real 0xb2490e357980cE57bF5745e181e537a64Eb367B1)
1 0x2f08119C6f07c006695E079AAFc638b8789FAf18  # MEDIUM yUSDT impersonates YUSDT (real 0xE6354ed5bC4b393a5Aad09f21c46E101e692d447)
1 0x2f085edec7113e54a1747bD9572b213E662C6165  # MEDIUM ZARP impersonates ZARP (real 0xb755506531786C8aC63B756BaB1ac387bACB0C04)
1 0x30cF203b48edaA42c3B4918E955fED26Cd012A3F  # MEDIUM SEED impersonates SEED (real 0x5eed99d066a8CaF10f3E4327c1b3D8b673485eED)
1 0x30f271C9E86D2B7d00a6376Cd96A1cFBD5F0b9b3  # MEDIUM DEC impersonates DEC (real 0x9393fdc77090F31c7db989390D43F454B1A6E7F3)
1 0x31d64f9403E82243e71C2af9D8F56C7DBe10C178  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x321198908BD33B066252d63d363667e3f7094A34  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x3218A02F8F8B5c3894ce30EB255F10Bcba13E654  # MEDIUM MEGA impersonates MEGA (real 0xc06bF3589345A81f0C2845E4Db76bdb64BBBbc9D)
1 0x321bd6Fa7696E0e4Ba082E454B6e87B6c8372b27  # MEDIUM SHIBA impersonates SHIBA (real 0xfD1450a131599ff34f3Be1775D8c8Bf79E353D8c)
1 0x3442801E0dDb9a6D06bc232D51725a658c8bFE10  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x34862060EFF6DA2AF04D382C209a433279377d16  # MEDIUM SOUL impersonates SOUL (real 0x75858677e27C930FB622759FeafFeE2b754Af07F)
1 0x34b13F8CD184F55d0Bd4Dd1fe6C07D46f245c7eD  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x35a0d9579B1E886702375364Fe9c540f97E4517B  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
